time,open,high,low,close,Volume,Volume MA
1642982400,2539,2539.75,2533.96,2535.15,698.6325,NaN
1642982460,2535.15,2538.03,2531.46,2531.46,381.4101,NaN
1642982520,2531.86,2533.21,2526.17,2527.11,1018.7874,NaN
1642982580,2527.11,2531.06,2526.7,2528.12,579.9658,NaN
1642982640,2528.48,2529.71,2526.3,2527.06,721.3467,NaN
1642982700,2526.77,2529,2525.17,2526.16,642.4089,NaN
1642982760,2526.28,2527.28,2517.52,2518.55,758.9132,NaN
1642982820,2518.61,2519.17,2514.75,2518.75,536.8077,NaN
1642982880,2518.75,2520,2513.31,2513.57,665.0208,NaN
1642982940,2513.43,2519.11,2509.61,2517.26,935.9375,NaN
1642983000,2517.26,2519.21,2514.18,2519.04,769.2643,NaN
1642983060,2518.94,2520,2515.06,2516.23,763.2073,NaN
1642983120,2516.23,2518.01,2512.58,2512.58,284.0232,NaN
1642983180,2512.59,2515.95,2511.95,2515.43,607.9988,NaN
1642983240,2515.42,2520.86,2514.3,2515.94,450.8169,NaN
1642983300,2515.94,2520.35,2513.81,2520.07,384.0673,NaN
1642983360,2520.07,2523.74,2519.17,2519.7,696.1253,NaN
1642983420,2519.7,2520.39,2514.54,2516.21,410.8734,NaN
1642983480,2516.21,2520,2516.21,2519.66,1009.9392,NaN
1642983540,2519.86,2519.87,2514.74,2515.21,260.9392,628.8242750000001
1642983600,2515.2,2518.16,2514.48,2514.63,436.2652,615.70591
1642983660,2514.64,2516.09,2509.99,2511.49,736.0087,633.4358400000001
1642983720,2511.49,2512.35,2505.22,2505.22,579.5877,611.4758550000001
1642983780,2505.22,2508.02,2502.05,2504.74,880.0301,626.4790700000001
1642983840,2504.74,2505.66,2485.61,2501.12,3398.3765,760.3305600000001
1642983900,2501.12,2501.51,2494.32,2498.72,1355.7415,795.9971900000002
1642983960,2498.72,2499.84,2494.25,2495.54,697.5363,792.928345
1642984020,2495.54,2500,2494.35,2496.55,546.6147,793.4186950000001
1642984080,2496.55,2499.99,2494.37,2495.63,325.1322,776.4242650000001
1642984140,2495.63,2497.45,2491.13,2494.21,515.6618,755.4104800000001
1642984200,2494.21,2494.3,2485.2,2485.2,532.8439,743.58946
1642984260,2485.2,2487.89,2482.52,2486.11,335.4292,722.2005550000001
1642984320,2486.1,2493.32,2485.74,2490.82,562.588,736.1287950000001
1642984380,2490.81,2492.79,2487.21,2488.32,656.0949,738.5336000000001
1642984440,2488.31,2490.12,2486.92,2487.42,257.4445,728.8649800000001
1642984500,2487.41,2487.6,2484.34,2485.91,365.1605,727.9196400000001
1642984560,2485.92,2487.27,2483.7,2484.52,198.3466,703.0307050000001
1642984620,2484.7,2489.85,2484.11,2489.85,297.5854,697.3663050000001
1642984680,2489.85,2495.58,2489.12,2489.13,229.7048,658.354585
1642984740,2489.13,2494.87,2488.5,2489.83,161.9263,653.4039399999999
1642984800,2489.73,2492.85,2488.26,2490.86,140.6111,638.621235
1642984860,2490.86,2492,2486.75,2488.96,314.0308,617.52234
1642984920,2488.96,2491.82,2488.07,2490.22,156.2688,596.356395
1642984980,2489.92,2490.17,2484.33,2488.29,201.4935,562.429565
1642985040,2488.3,2489.9,2483.01,2483.11,262.7197,405.64672499999995
1642985100,2483.11,2489.62,2483.11,2489.44,293.1896,352.51912999999996
1642985160,2489.27,2491.84,2488.77,2490.94,254.3297,330.3588
1642985220,2490.95,2493.75,2489.77,2491.52,144.448,310.25046499999996
1642985280,2491.61,2493.12,2490.16,2491.23,319.4967,309.96869
1642985340,2491.24,2492.02,2488.72,2489.82,97.5023,289.06071499999996
1642985400,2489.82,2492.69,2489.79,2492.43,90.1316,266.9251
1642985460,2492.44,2494.05,2491,2493.13,499.6052,275.1339
1642985520,2493.13,2494.55,2491.52,2494.54,199.1155,256.960275
1642985580,2494.55,2495.34,2492.5,2492.5,216.996,235.00533000000001
1642985640,2492.51,2493.08,2488.72,2491.14,202.1924,232.242725
1642985700,2491.13,2493.34,2488.9,2489.32,128.6934,220.41937000000001
1642985760,2489.32,2493.5,2488.65,2492,216.9207,221.34807500000002
1642985820,2492,2492.87,2491.02,2491.31,101.2181,211.52971000000002
1642985880,2491.23,2491.36,2487.56,2490.29,366.1099,218.34996500000003
1642985940,2490.29,2490.9,2486.71,2490.26,198.8963,220.19846500000003
1642986000,2490.27,2495,2487.29,2494,252.2167,225.77874500000001
1642986060,2494,2496.37,2493.8,2494.83,209.0696,220.53068500000003
1642986120,2494.72,2496.98,2493.79,2496.7,217.2151,223.57800000000006
1642986180,2496.7,2497,2494.25,2496.1,308.4061,228.9236300000001
1642986240,2496.09,2497,2494.91,2496.81,196.6513,225.62021000000013
1642986300,2496.8,2501.11,2496.01,2497.34,607.8576,241.35361000000017
1642986360,2497.34,2498.17,2493.72,2494.23,362.4631,246.76028000000014
1642986420,2494.35,2496.64,2493.87,2495.43,353.9937,257.23756500000013
1642986480,2495.44,2497.32,2493.46,2496.81,228.7414,252.69980000000015
1642986540,2496.79,2496.81,2493.08,2493.63,377.3044,266.6899050000001
1642986600,2493.63,2494.74,2485.54,2488.29,376.7032,281.01848500000017
1642986660,2488.28,2492.29,2487.35,2492.27,206.4239,266.3594200000001
1642986720,2492.27,2495.39,2489.59,2489.59,378.1728,275.31228500000014
1642986780,2489.59,2492.26,2487.61,2491.07,160.5891,272.49194000000017
1642986840,2491.08,2492.87,2490.92,2492.33,102.5033,267.5074850000002
1642986900,2492.33,2493.56,2490.24,2490.25,176.79,269.91231500000015
1642986960,2490.25,2492.58,2490.24,2491.53,133.8263,265.75759500000015
1642987020,2491.47,2492.69,2490.61,2492.37,86.1301,265.0031950000002
1642987080,2492.37,2499.42,2492.36,2499.42,225.3186,257.96363000000014
1642987140,2499.35,2501.41,2496.12,2497.48,386.3559,267.3366100000001
1642987200,2497.48,2497.79,2492.97,2493.57,201.9563,264.8235900000001
1642987260,2493.56,2493.57,2490.66,2491.69,171.0811,262.92416500000013
1642987320,2491.9,2492.36,2485.78,2489.08,254.3336,264.7800900000001
1642987380,2489.07,2489.19,2485.05,2486.92,206.6318,259.6913750000001
1642987440,2486.92,2487.31,2481.01,2485.14,701.9925,284.9584350000001
1642987500,2485.15,2487.39,2484.38,2485.38,327.1219,270.9216500000001
1642987560,2485.38,2486.07,2473.54,2476.48,1314.8779,318.54239000000007
1642987620,2476.45,2479.63,2474.95,2479.49,637.1393,332.6996700000001
1642987680,2479.48,2479.48,2473.24,2475.56,535.0946,348.0173300000001
1642987740,2475.56,2477.69,2475.32,2477.06,176.6225,337.9832350000001
1642987800,2477.06,2477.06,2464.39,2465.52,955.367,366.9164250000001
1642987860,2465.51,2472.08,2464.08,2467.84,491.1845,381.15445500000015
1642987920,2468.27,2473.35,2466.61,2473.18,338.382,379.1649150000001
1642987980,2473.18,2473.61,2469.53,2471.97,153.8963,378.83027500000014
1642988040,2471.97,2474.58,2470.76,2474.58,119.6127,379.6857450000001
1642988100,2474.57,2477.4,2473.89,2474.99,148.8449,378.2884900000001
1642988160,2474.99,2476.51,2472.55,2472.56,442.7738,393.7358650000001
1642988220,2472.55,2473.15,2467.88,2472.95,302.4569,404.5522050000001
1642988280,2472.95,2473.16,2470,2471.95,236.0687,405.0897100000001
1642988340,2471.95,2473.11,2470.73,2471.83,128.6571,392.2047700000001
1642988400,2471.83,2473.35,2463.67,2464.28,323.6896,398.2914350000001
1642988460,2464.28,2468.08,2460.86,2466.1,476.3437,413.5545650000001
