time,open,high,low,close,Volume,Volume MA
1577836800,129.16,129.19,128.68,128.78,5569.65282,NaN
1577838600,128.76,129.03,128.68,128.87,2199.52054,NaN
1577840400,128.87,130.58,128.78,130.26,6736.18344,NaN
1577842200,130.26,130.65,129.91,130.64,4608.47172,NaN
1577844000,130.63,130.95,130.35,130.76,4056.3696,NaN
1577845800,130.79,130.98,130.61,130.85,3546.98663,NaN
1577847600,130.85,130.89,130.06,130.48,3088.27696,NaN
1577849400,130.47,130.48,129.94,130.2,1880.27737,NaN
1577851200,130.21,130.42,130.15,130.19,1775.92651,NaN
1577853000,130.19,130.74,130.15,130.2,1621.98096,NaN
1577854800,130.2,130.44,130.11,130.33,2218.07739,NaN
1577856600,130.32,130.47,130.19,130.3,2025.52901,NaN
1577858400,130.31,130.75,130.26,130.75,2029.51946,NaN
1577860200,130.74,130.75,130.27,130.44,1639.3822,NaN
1577862000,130.47,130.71,130.33,130.58,1633.271,NaN
1577863800,130.58,130.66,130.14,130.24,2513.90313,NaN
1577865600,130.24,130.3,129.87,130,5158.53699,NaN
1577867400,130,130.41,129.88,130.36,2382.90798,NaN
1577869200,130.4,130.62,130.24,130.31,3514.51154,NaN
1577871000,130.35,130.49,130.13,130.17,1293.69342,2974.6489334999997
1577872800,130.17,130.61,130.07,130.59,3560.87516,2874.2100505
1577874600,130.59,130.82,130.49,130.7,1064.62654,2817.4653504999997
1577876400,130.67,131.87,130.6,131.7,5448.50512,2753.0814345
1577878200,131.7,131.79,130.62,130.74,5399.2852,2792.6221084999997
1577880000,130.74,131.35,130.7,131.05,2066.38746,2693.1230014999996
1577881800,131.02,131.61,130.96,131.61,2096.91921,2620.6196305
1577883600,131.6,131.9,131.28,131.46,5298.42557,2731.1270609999997
1577885400,131.43,131.88,131.39,131.68,1862.22745,2730.2245649999995
1577887200,131.66,132.23,131.24,132.2,4441.27935,2863.4922069999993
1577889000,132.2,132.37,131.82,131.96,2883.97827,2926.592072499999
1577890800,131.95,132.2,131.6,131.74,2505.26373,2940.951389499999
1577892600,131.74,132.4,131.67,132.08,2855.80553,2982.4652154999994
1577894400,132.08,132.38,131.78,132.06,3288.18655,3045.398569999999
1577896200,132.05,132.95,131.96,132.85,3627.02251,3144.7805854999992
1577898000,132.86,133.05,132.39,132.69,3760.96366,3251.1652184999994
1577899800,132.69,132.72,132.27,132.34,1663.04366,3208.6222449999996
1577901600,132.34,132.46,131.73,131.81,2366.86167,3069.0384789999994
1577903400,131.82,132.13,131.57,132.04,3340.93173,3116.9396664999995
