time,open,high,low,close,Volume,Volume MA
1639353600,4130,4140.3,4125.24,4139.47,1036.138,NaN
1639353900,4139.47,4142.75,4128.68,4131.26,544.0129,NaN
1639354200,4131.26,4139.65,4130.57,4137.65,399.8267,NaN
1639354500,4137.64,4140.89,4125.67,4129.99,458.6968,NaN
1639354800,4130,4132.47,4110.05,4121.8,1786.9404,NaN
1639355100,4121.77,4122.62,4100.58,4118.96,2594.7652,NaN
1639355400,4118.96,4118.96,4106.22,4111.5,773.8549,NaN
1639355700,4111.5,4111.5,4092.02,4102.18,1714.2102,NaN
1639356000,4102.17,4107.57,4096.29,4104.34,1228.0931,NaN
1639356300,4104.33,4107.48,4091.15,4096.21,741.6748,NaN
1639356600,4096.2,4096.75,4075,4076.38,1939.724,NaN
1639356900,4076.37,4081.49,4053.1,4067.36,6698.3083,NaN
1639357200,4067.37,4068.46,4035.51,4049.94,5364.454,NaN
1639357500,4049.93,4052.29,4020.8,4020.8,6581.128,NaN
1639357800,4020.9,4024.23,3998.12,4011.46,6604.8773,NaN
1639358100,4011.46,4021.12,3998.73,4019.68,2467.6066,NaN
1639358400,4020.16,4020.52,4007.04,4015.52,1087.3535,NaN
1639358700,4015.51,4019.08,3987,3999.5,3641.9316,NaN
1639359000,3999.5,4014.5,3991.49,4002.92,2420.6841,NaN
1639359300,4002.96,4010.43,3990.78,3991.4,2009.5246,2504.690249999999
1639359600,3991.99,3992.47,3966,3986.5,5582.2617,2731.9964349999996
1639359900,3986.07,3996.76,3984.36,3987.66,1707.4725,2790.1694149999994
1639360200,3987.66,3993.8,3973.38,3973.76,2096.5544,2875.0058
1639360500,3973.77,3984.92,3967.17,3969.03,1519.5552,2928.04872
1639360800,3969.03,3987.01,3962.48,3981.5,2292.5499,2953.329195
1639361100,3981.45,3996.61,3980.98,3996.11,1213.1021,2884.2460399999995
1639361400,3996.11,3996.24,3981.97,3987.5,1194.3927,2905.2729299999996
1639361700,3987.71,3989.67,3977.32,3989.49,938.2207,2866.4734549999994
1639362000,3989.5,3994.26,3983.06,3983.24,750.1041,2842.5740049999995
1639362300,3983.25,3983.82,3977.06,3979.68,643.0292,2837.641724999999
1639362600,3979.68,3983.64,3967.61,3969.27,1799.6164,2830.636344999999
1639362900,3969.02,3979.72,3953.89,3978.63,2596.677,2625.5547799999995
1639363200,3978.62,3984.47,3973.46,3975.1,684.517,2391.5579299999995
1639363500,3975.11,3982.89,3973.75,3975.01,899.1371,2107.4583849999995
1639363800,3975.01,3980.93,3970.35,3980.56,640.5703,1809.2430349999995
1639364100,3980.57,3987.17,3978.23,3981.47,749.7969,1723.3525499999996
1639364400,3981.46,3981.86,3971.06,3976.86,802.7322,1709.1214849999997
1639364700,3976.67,3985.92,3976.49,3984.93,584.8317,1556.2664899999995
1639365000,3984.93,3992.55,3981.59,3991.6,704.8151,1470.4730399999996
