,closes,actual,predicted
0,3112.83,0,0
1,3109.38,0,0
2,3102.93,0,0
3,3109.39,0,0
4,3101.9,0,0
5,3105.31,0,0
6,3095.8,0,0
7,3095.0,0,0
8,3090.97,0,0
9,3081.42,0,0
10,3082.82,0,0
11,3084.76,0,0
12,3088.35,0,0
13,3090.42,0,0
14,3093.13,0,0
15,3099.02,0,0
16,3096.02,0,0
17,3100.02,0,0
18,3091.44,0,0
19,3081.1,0,0
20,3089.76,0,0
21,3093.14,0,0
22,3089.29,0,0
23,3083.79,0,0
24,3085.15,0,0
25,3073.95,0,0
26,3074.83,0,0
27,3076.97,0,0
28,3082.19,0,0
29,3074.51,0,0
30,3080.44,0,0
31,3080.16,0,0
32,3064.24,0,0
33,3053.57,0,0
34,3029.27,0,0
35,3022.95,0,0
36,3022.66,0,0
37,3019.2,0,1
38,3005.47,0,1
39,2992.99,0,1
40,2977.98,1,1
41,2994.74,0,1
42,3000.19,0,1
43,2985.08,0,1
44,2981.15,1,1
45,3012.46,0,1
46,3013.2,0,1
47,3004.73,0,1
48,3003.21,0,1
49,2995.45,0,1
50,2992.89,0,1
51,2967.36,0,1
52,2959.55,0,1
53,2938.92,0,1
54,2943.9,0,1
55,2923.56,0,1
56,2926.7,0,1
57,2921.75,0,1
58,2929.09,0,1
59,2927.93,0,1
60,2934.97,0,1
61,2921.71,0,1
62,2917.46,0,1
63,2920.78,0,1
64,2931.38,0,1
65,2932.41,0,1
66,2937.22,0,1
67,2935.43,0,1
68,2939.93,0,1
69,2930.5,0,1
70,2927.0,0,0
71,2931.57,0,0
72,2928.87,0,0
73,2925.94,0,0
74,2926.34,0,0
75,2932.01,0,0
76,2922.03,0,0
77,2915.17,0,0
78,2918.12,0,0
79,2915.14,0,0
80,2904.11,0,0
81,2917.34,0,0
82,2914.35,0,0
83,2905.83,0,0
84,2888.54,0,0
85,2881.83,0,0
86,2893.99,0,0
87,2900.88,0,0
88,2881.64,1,0
89,2900.43,0,0
90,2911.65,0,0
91,2920.42,0,0
92,2921.77,0,0
93,2931.94,0,0
94,2926.91,0,0
95,2926.91,0,0
96,2925.31,0,0
97,2926.14,0,0
98,2927.54,0,0
99,2924.94,0,0
100,2917.07,0,0
101,2914.55,0,0
102,2920.95,0,0
103,2921.01,0,0
104,2916.18,0,0
105,2923.16,0,0
106,2929.02,0,0
107,2923.68,0,0
108,2931.37,0,0
109,2927.96,0,0
110,2930.4,0,0
111,2932.0,0,0
112,2933.62,0,0
113,2944.4,0,0
114,2938.6,0,0
115,2935.96,0,0
116,2936.78,0,0
117,2938.72,0,0
118,2937.75,0,0
119,2939.99,0,0
120,2945.24,0,0
121,2947.11,0,0
122,2953.02,0,0
123,2951.98,0,0
124,2956.29,0,0
125,2958.08,0,0
126,2953.17,0,0
127,2950.01,0,0
128,2952.55,0,0
129,2947.16,0,0
130,2955.32,0,0
131,2955.97,0,0
132,2953.09,0,0
133,2955.0,0,0
134,2956.36,0,0
135,2952.17,0,0
136,2944.69,0,0
137,2934.34,0,0
138,2936.77,0,0
139,2937.98,0,0
140,2930.36,0,0
141,2936.17,0,0
142,2937.81,0,0
143,2939.09,0,0
144,2938.57,0,0
145,2936.9,0,0
146,2934.2,0,0
147,2940.21,0,0
148,2944.27,0,0
149,2940.83,0,0
150,2941.56,0,0
151,2944.73,0,0
152,2943.12,0,0
153,2948.13,0,0
154,2945.35,0,0
155,2938.72,0,0
156,2933.87,0,0
157,2934.66,0,0
158,2935.65,0,0
159,2943.37,0,0
160,2934.42,0,0
161,2929.63,0,0
162,2931.36,0,0
163,2929.51,0,0
164,2929.39,0,0
165,2927.26,0,0
166,2928.82,0,0
167,2933.27,0,0
168,2926.18,0,0
169,2926.74,0,0
170,2926.35,0,0
