,closes,actual,predicted
0,3185.48,0,0
1,3186.88,0,0
2,3180.4,0,0
3,3179.37,0,0
4,3179.73,0,0
5,3179.6,0,0
6,3175.27,0,0
7,3182.38,0,0
8,3185.11,0,0
9,3181.98,0,0
10,3183.38,0,0
11,3182.98,0,0
12,3184.64,0,0
13,3179.38,0,0
14,3173.63,0,0
15,3165.48,0,0
16,3164.17,0,0
17,3168.85,0,0
18,3162.0,0,0
19,3160.27,0,0
20,3164.53,0,0
21,3161.97,0,0
22,3167.02,0,0
23,3166.63,0,0
24,3164.17,0,0
25,3164.67,0,0
26,3169.36,0,0
27,3167.78,0,0
28,3173.01,0,0
29,3174.93,0,0
30,3176.91,0,0
31,3176.58,0,0
32,3175.44,0,0
33,3170.65,0,0
34,3174.27,0,0
35,3170.05,0,0
36,3175.35,0,0
37,3186.52,0,0
38,3188.62,0,0
39,3184.96,0,0
40,3185.51,0,0
41,3179.41,0,0
42,3185.83,0,0
43,3186.37,0,0
44,3189.84,0,0
45,3182.72,0,0
46,3184.25,0,0
47,3182.42,0,0
48,3183.06,0,0
49,3182.6,0,0
50,3181.81,0,0
51,3183.5,0,0
52,3187.84,0,0
53,3189.9,0,0
54,3192.82,0,0
55,3196.0,0,0
56,3201.34,0,0
57,3197.22,0,0
58,3193.86,0,0
59,3194.2,0,0
60,3193.53,0,0
61,3197.9,0,0
62,3196.17,0,0
63,3197.54,0,0
64,3197.12,0,0
65,3198.74,0,0
66,3195.59,0,0
67,3185.53,0,0
68,3186.05,0,0
69,3195.8,0,0
70,3204.62,0,0
71,3204.69,0,0
72,3199.72,0,0
73,3199.34,0,0
74,3203.24,0,0
75,3203.22,0,0
76,3207.33,0,0
77,3214.39,0,0
78,3226.34,1,0
79,3244.54,0,0
80,3247.96,0,0
81,3251.51,0,0
82,3249.48,0,0
83,3255.1,0,0
84,3250.98,0,0
85,3258.47,0,0
86,3253.38,0,0
87,3244.32,0,0
88,3244.49,0,0
89,3246.94,0,0
90,3238.29,0,0
91,3244.55,0,0
92,3251.05,0,0
