,closes,actual,predicted
0,3984.29,0,0
1,3991.31,0,0
2,3973.6,0,0
3,3979.51,0,0
4,3950.59,0,0
5,3920.89,1,0
6,3939.76,0,0
7,3940.1,0,0
8,3943.62,0,0
9,3947.13,0,0
10,3949.73,0,0
11,3955.36,1,0
12,3994.08,0,0
13,3988.24,0,0
14,3982.31,0,0
15,3965.33,0,0
16,3949.95,0,0
17,3955.82,0,0
18,3955.95,0,0
19,3960.59,0,0
20,3955.59,0,0
21,3969.07,0,0
22,3966.64,0,0
23,3948.73,0,0
24,3961.35,0,0
25,3955.83,0,0
26,3942.8,0,0
27,3946.32,0,0
28,3955.45,0,0
29,3955.04,0,0
30,3947.08,0,0
31,3960.29,0,0
32,3957.8,0,0
33,3961.33,0,0
34,3946.58,0,0
35,3911.6,0,0
36,3918.46,0,0
37,3924.0,0,0
38,3931.11,0,0
39,3930.53,0,0
40,3926.87,0,0
41,3920.82,0,0
42,3925.07,0,0
43,3930.38,0,0
44,3921.62,0,0
45,3933.99,0,0
46,3933.27,0,0
47,3943.68,0,0
48,3944.87,0,0
49,3931.28,0,0
50,3925.59,0,0
51,3934.32,0,0
52,3936.73,0,0
53,3937.35,1,0
54,3952.38,0,0
55,3944.23,0,0
56,3954.15,0,0
57,3960.12,0,0
58,3951.34,0,0
59,3947.53,0,0
60,3953.09,0,0
61,3937.57,0,0
62,3939.73,0,0
63,3940.69,0,0
64,3949.65,0,0
65,3953.56,0,0
66,3946.4,0,0
67,3950.65,0,0
68,3958.89,0,0
69,3953.63,0,0
70,3967.95,1,0
71,3985.99,0,0
72,3992.66,0,0
73,3996.56,1,0
74,4016.83,1,0
75,4044.15,1,0
76,4066.53,1,0
77,4102.0,0,1
78,4080.38,0,1
79,4094.09,0,1
80,4108.04,1,1
81,4125.72,1,1
82,4141.64,0,1
83,4133.64,0,1
84,4133.44,0,1
85,4115.0,0,1
86,4111.62,0,1
87,4121.49,0,1
88,4113.78,0,1
89,4101.22,0,0
90,4104.65,0,0
91,4112.61,0,0
92,4107.75,0,0
93,4111.43,0,0
94,4109.7,0,0
95,4094.53,0,0
96,4100.81,0,0
97,4099.26,0,0
98,4095.72,1,0
99,4111.41,0,0
100,4101.41,0,0
101,4105.8,0,0
102,4108.85,0,0
103,4106.4,1,0
104,4122.54,0,0
105,4113.18,0,0
106,4116.87,0,0
107,4122.13,0,0
108,4113.78,0,0
109,4114.05,0,0
110,4106.06,0,0
111,4098.85,0,0
112,4095.0,0,0
113,4097.2,0,0
114,4094.04,0,0
115,4092.03,0,0
116,4097.51,0,0
117,4094.71,0,0
118,4090.9,0,0
119,4090.37,0,0
120,4091.88,0,0
121,4078.31,0,0
122,4088.96,0,0
123,4089.81,0,0
124,4085.04,0,0
125,4085.21,0,0
126,4091.84,0,0
127,4088.5,0,0
128,4094.19,0,0
129,4092.92,0,0
130,4085.8,0,0
131,4088.67,1,0
132,4114.4,0,0
133,4100.63,0,0
134,4097.88,0,0
135,4094.65,0,0
136,4100.69,0,0
137,4109.68,0,0
138,4102.13,0,0
139,4108.46,0,0
140,4098.81,0,0
141,4090.0,0,0
142,4096.26,0,0
143,4092.63,0,0
144,4102.63,0,0
145,4098.6,0,0
146,4090.94,0,0
147,4079.0,0,0
148,4077.55,0,0
149,4081.82,0,0
150,4074.24,0,0
151,4084.11,0,0
152,4076.71,0,0
153,4088.47,0,0
154,4096.08,0,0
155,4086.51,1,0
156,4111.5,0,0
157,4100.27,0,0
158,4103.16,0,0
159,4078.36,0,0
160,4069.37,0,0
161,4081.44,0,0
162,4081.57,0,0
163,4094.23,0,0
164,4104.24,0,0
165,4099.53,0,0
166,4079.18,0,0
167,4086.06,0,0
168,4085.84,0,0
169,4075.2,0,0
170,4085.0,0,0
171,4098.08,0,0
172,4097.97,0,0
173,4100.2,0,0
174,4110.0,0,0
175,4120.29,0,0
176,4127.43,0,0
177,4098.57,0,0
178,4083.62,0,0
179,4078.29,0,0
180,4066.59,0,0
181,4053.48,1,0
182,4069.79,0,0
183,4069.63,0,0
184,4061.68,0,0
185,4074.09,0,0
186,4063.77,0,0
187,4065.54,0,0
188,4056.93,0,0
189,4067.44,0,0
190,4055.89,0,0
191,4053.91,0,0
192,4028.68,0,0
193,4041.79,0,0
194,4047.41,0,0
195,4046.36,0,0
196,4043.0,0,0
197,4052.78,0,0
198,4053.75,0,0
199,4065.43,0,0
200,4072.4,0,0
201,4056.0,0,0
202,4042.3,0,0
203,4053.66,0,0
204,4050.37,0,0
205,4054.3,0,0
206,4051.14,0,0
207,4029.19,0,0
208,4036.31,0,0
209,4041.06,0,0
210,4042.51,0,0
211,4038.69,0,0
212,4047.86,0,0
213,4045.87,0,0
214,4039.99,0,0
215,4040.64,0,0
216,4050.54,0,0
217,4052.49,0,0
218,4047.33,0,0
219,4045.02,0,0
220,4029.07,0,0
221,4043.81,0,0
222,4056.91,0,0
223,4057.63,0,0
224,4058.0,0,0
225,4059.6,0,0
226,4045.11,0,0
227,4052.91,0,0
228,4049.6,0,0
229,4045.82,0,0
230,4048.94,0,0
231,4057.52,0,0
232,4055.68,0,0
233,4055.35,0,0
234,4050.92,0,0
235,4046.95,0,0
236,4051.34,0,0
237,4050.79,0,0
238,4041.82,0,0
239,4033.68,1,0
240,4051.04,0,0
241,4052.89,0,0
242,4050.01,0,0
243,4051.59,0,0
244,4054.0,1,0
245,4082.42,0,0
246,4092.18,0,0
247,4083.25,0,0
248,4073.81,0,0
249,4070.04,0,0
250,4074.47,0,0
251,4076.89,0,0
252,4068.6,0,0
253,4069.38,0,0
254,4062.4,0,0
255,4068.0,0,0
256,4066.92,0,0
257,4070.7,0,0
258,4072.99,0,0
259,4079.04,0,0
260,4082.28,0,0
261,4089.41,0,0
262,4081.83,0,0
263,4075.47,0,0
264,4065.28,0,0
265,4048.39,0,0
266,4044.99,1,0
267,4067.56,0,0
268,4070.76,1,0
269,4087.43,0,0
270,4079.99,0,0
271,4081.19,0,0
272,4073.31,0,0
273,4075.98,0,0
274,4079.8,0,0
275,4076.89,0,0
276,4076.94,0,0
277,4078.87,0,0
278,4085.33,1,0
279,4105.5,1,0
280,4129.36,0,0
281,4129.99,0,0
282,4130.66,0,0
283,4117.96,0,0
284,4104.11,0,0
285,4095.35,0,0
286,4086.91,0,0
287,4086.97,0,0
288,4093.17,0,0
289,4085.86,1,0
290,4107.33,0,0
291,4094.83,0,0
292,4089.88,0,0
293,4095.2,0,0
294,4073.33,0,0
295,4081.34,0,0
296,4086.0,0,0
297,4085.96,0,0
298,4100.04,0,0
299,4092.22,0,0
300,4087.72,0,0
301,4078.46,0,0
302,4065.75,0,0
303,4064.62,0,0
304,4056.74,0,0
305,4058.07,0,0
306,4034.73,0,0
307,4013.21,0,0
308,4026.02,0,0
309,4014.08,0,0
310,4020.01,0,0
311,4022.9,0,0
312,4026.01,0,0
313,4031.42,0,0
314,4028.51,0,0
315,4027.19,0,0
316,4033.01,0,0
317,4026.06,0,0
318,4020.33,0,0
319,4027.28,0,0
320,4025.34,0,0
321,4029.96,0,0
322,4030.11,0,0
323,4037.27,0,0
324,4036.16,0,0
325,4047.7,0,0
326,4035.37,0,0
327,4032.11,0,0
328,4035.7,0,0
329,4037.36,0,0
330,4042.2,0,0
331,4041.52,0,0
332,4036.03,0,0
333,4041.97,0,0
334,4049.13,0,0
335,4048.58,0,0
336,4051.05,0,0
337,4050.63,0,0
338,4035.34,0,0
339,4033.01,0,0
340,4038.99,0,0
341,4032.82,0,0
342,4044.56,0,0
343,4044.72,0,0
344,4041.97,0,0
345,4040.41,0,0
346,4040.0,0,0
347,4042.0,0,0
348,4043.83,0,0
349,4040.07,0,0
350,4045.96,0,0
351,4050.36,0,0
352,4049.42,0,0
353,4062.15,0,0
354,4057.9,0,0
355,4053.85,0,0
356,4049.02,0,0
357,4060.98,0,0
358,4073.98,0,0
359,4069.5,0,0
360,4068.19,0,0
361,4073.02,0,0
362,4075.68,0,0
363,4072.67,0,0
364,4067.1,0,0
365,4072.61,0,0
366,4071.01,0,0
367,4074.92,0,0
368,4073.77,0,0
369,4070.62,0,0
370,4074.33,0,0
371,4076.1,0,0
372,4079.27,0,0
373,4072.46,0,0
374,4075.96,0,0
375,4071.92,0,0
376,4051.02,1,0
377,4073.19,1,0
378,4094.5,0,0
379,4081.94,0,0
380,4083.97,0,0
381,4082.11,0,0
382,4088.76,0,0
383,4082.39,0,0
384,4076.24,0,0
385,4066.54,0,0
386,4066.17,0,0
387,4063.56,0,0
388,4072.78,0,0
389,4076.93,0,0
390,4061.77,0,0
391,4061.21,0,0
392,4050.73,0,0
393,4065.51,0,0
394,4062.22,0,0
395,4074.55,0,0
396,4075.1,0,0
397,4075.37,0,0
398,4078.03,0,0
399,4070.68,0,0
400,4074.02,0,0
401,4085.62,0,0
402,4085.63,0,0
403,4080.09,0,0
404,4076.76,0,0
405,4068.34,0,0
406,4069.16,0,0
407,4067.91,0,0
408,4066.33,0,0
409,4065.48,0,0
410,4067.2,0,0
411,4061.87,0,0
412,4055.71,0,0
413,4059.38,0,0
414,4069.0,0,0
415,4068.87,0,0
416,4066.01,0,0
417,4066.22,0,0
418,4056.25,0,0
419,4051.01,0,0
420,4061.01,0,0
421,4060.36,0,0
422,4054.46,0,0
423,4037.44,0,0
424,4043.93,0,0
425,4045.83,0,0
426,4046.79,0,0
427,4052.73,0,0
428,4056.48,0,0
429,4057.94,0,0
430,4055.06,0,0
431,4059.36,0,0
432,4063.01,0,0
433,4054.78,0,0
434,4059.61,0,0
435,4060.22,0,0
436,4057.91,0,0
437,4068.64,1,0
438,4085.76,0,0
439,4080.67,0,0
440,4072.81,1,0
441,4093.08,0,0
442,4086.15,0,0
443,4089.48,0,0
444,4090.71,0,0
445,4085.1,0,0
446,4097.22,0,0
447,4094.46,0,0
448,4099.25,0,0
449,4095.75,0,0
450,4089.48,0,0
451,4092.73,0,0
452,4089.52,0,0
453,4084.1,0,0
454,4093.82,0,0
455,4090.54,0,0
456,4097.61,0,0
457,4107.9,0,0
458,4117.98,0,0
459,4115.57,0,0
460,4111.46,0,0
461,4101.37,0,0
462,4102.45,0,0
463,4097.76,0,0
